,sigma,Cu_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__10_585323__1200_000000__91_0,14518455,-3.69099486,999.1499500378862,-3.68779486,10.585323239337924,0.02136117999999998
1,0.2,1,-5,1200.0,91.0,17296,job__10_702938__1200_000000__91_0,14518456,-3.70749624,1010.268806787947,-3.70429624,10.702938009009392,0.021062809999999654
2,0.2,1,-5,1200.0,91.0,17296,job__10_820553__1200_000000__91_0,14518457,-3.72206514,1021.3598758444791,-3.71886514,10.820552605498564,0.02075903999999973
3,0.2,1,-5,1200.0,91.0,17296,job__10_938167__1200_000000__91_0,14518458,-3.7348137,1032.4673760004034,-3.7316137,10.93816726094948,0.020472379999999735
4,0.2,1,-5,1200.0,91.0,17296,job__11_055782__1200_000000__91_0,14518459,-3.7458462,1043.5620916940807,-3.7426462,11.055782105688573,6.389000000028844e-05
5,0.2,1,-5,1200.0,91.0,17296,job__11_173397__1200_000000__91_0,14518460,-3.75526229,1054.6588456827558,-3.75206229,11.173396768721835,0.01983712000000004
6,0.2,1,-5,1200.0,91.0,17296,job__11_291011__1200_000000__91_0,14518461,-3.76315567,1065.7672482088615,-3.75995567,11.291011484389045,0.01951459
7,0.2,1,-5,1200.0,91.0,17296,job__11_408626__1200_000000__91_0,14518462,-3.76960928,1076.8722190742478,-3.76640928,11.408626139728653,7.11799999999485e-05
8,0.2,1,-5,1200.0,91.0,17296,job__11_526241__1200_000000__91_0,14518463,-3.77471908,1087.9666720189605,-3.77151908,11.526240825239308,0.01885653999999981
9,0.2,1,-5,1200.0,91.0,17296,job__11_643856__1200_000000__91_0,14518464,-3.77855558,1099.0807727473589,-3.77535558,11.643855632748428,0.018524470000000015
10,0.2,1,-5,1200.0,91.0,17296,job__11_761470__1200_000000__91_0,14518465,-3.78119087,1110.1656552600882,-3.77799087,11.76147025,7.912000000009911e-05
11,0.2,1,-5,1200.0,91.0,17296,job__11_879085__1200_000000__91_0,14518466,-3.78269412,1121.2832380757752,-3.77949412,11.879084917207622,0.017852320000000255
12,0.2,1,-5,1200.0,91.0,17296,job__11_996700__1200_000000__91_0,14518467,-3.78312977,1132.3726032450825,-3.77992977,11.996699640025126,8.489000000011515e-05
13,0.2,1,-5,1200.0,91.0,17296,job__12_114314__1200_000000__91_0,14518468,-3.78255844,1143.4775979967383,-3.7793584399999998,12.114314368262498,0.017177540000000047
14,0.2,1,-5,1200.0,91.0,17296,job__12_349544__1200_000000__91_0,14518470,-3.77862342,1165.6736034162673,-3.77542342,12.349543680696142,0.016498229999999836
15,0.2,1,-5,1200.0,91.0,17296,job__12_467158__1200_000000__91_0,14518471,-3.77536848,1176.783224142118,-3.77216848,12.467158374115927,0.016158850000000058
16,0.2,1,-5,1200.0,91.0,17296,job__12_584773__1200_000000__91_0,14518472,-3.77132381,1187.8883675194506,-3.76812381,12.584773069457093,0.01582024000000004
17,0.2,1,-5,1200.0,91.0,17296,job__12_702388__1200_000000__91_0,14518473,-3.76653564,1198.9885292825759,-3.7633356399999998,12.702387864837924,0.01548273
18,0.2,1,-5,1200.0,91.0,17296,job__12_820003__1200_000000__91_0,14518474,-3.76104611,1210.089574837673,-3.75784611,12.820002527746622,0.015147849999999963
19,0.2,1,-5,1200.0,91.0,17296,job__12_937617__1200_000000__91_0,14518475,-3.75489509,1221.188422855975,-3.75169509,12.937617308355073,0.014811909999999706
